"Source:","/Users/tmurarka/Library/Mobile Documents/com~apple~CloudDocs/Senior - Spring 2022/ECE 49022/PCB - Controls/PCB - Controls.kicad_sch"
"Date:","Wednesday, February 23, 2022 at 03:33:02 PM"
"Tool:","Eeschema (6.0.1-0)"
"Generator:","/Applications/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","19"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","D1","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D2","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D3","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","J1","Microcontroller GPIO Pins (PA0, PA1, PA2)","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J2","Valve Controller 1 (- Pin)","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"","","J3","Valve Controller 2 (- Pin)","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"","","J4","Valve Controller 3 (- Pin)","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"","","J5","12 V","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"","","J6","Valve Controller 1,2,3 (+ Pin)","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J8","GND","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"","","Q1","RFD3055LESM9A","RFD3055LE:RFD3055LESM9A","RFD3055LE:FQD1N80TM","http://www.onsemi.com/pub/Collateral/RFD3055LESM-D.pdf","MOSFET, Fairchild, RFD3055LESM9A","2.39","ON Semiconductor","RFD3055LESM9A","512-RFD3055LESM9A","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/RFD3055LESM9A?qs=cnIeywgme7Z76wawIlx3bQ%3D%3D"
"","","Q2","RFD3055LESM9A","RFD3055LE:RFD3055LESM9A","RFD3055LE:FQD1N80TM","http://www.onsemi.com/pub/Collateral/RFD3055LESM-D.pdf","MOSFET, Fairchild, RFD3055LESM9A","2.39","ON Semiconductor","RFD3055LESM9A","512-RFD3055LESM9A","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/RFD3055LESM9A?qs=cnIeywgme7Z76wawIlx3bQ%3D%3D"
"","","Q3","RFD3055LESM9A","RFD3055LE:RFD3055LESM9A","RFD3055LE:FQD1N80TM","http://www.onsemi.com/pub/Collateral/RFD3055LESM-D.pdf","MOSFET, Fairchild, RFD3055LESM9A","2.39","ON Semiconductor","RFD3055LESM9A","512-RFD3055LESM9A","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/RFD3055LESM9A?qs=cnIeywgme7Z76wawIlx3bQ%3D%3D"
"","","R1","1000","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","","","","","",""
"","","R2","1000","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","","","","","",""
"","","R3","1000","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","","","","","",""
"","","R4","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","","","","","",""
"","","R5","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","","","","","",""
"","","R6","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","3","D1, D2, D3","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"2","1","J1","Microcontroller GPIO Pins (PA0, PA1, PA2)","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"3","1","J2","Valve Controller 1 (- Pin)","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"4","1","J3","Valve Controller 2 (- Pin)","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"5","1","J4","Valve Controller 3 (- Pin)","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"6","1","J5","12 V","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"7","1","J6","Valve Controller 1,2,3 (+ Pin)","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"8","1","J8","GND","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","",""
"9","3","Q1, Q2, Q3","RFD3055LESM9A","RFD3055LE:RFD3055LESM9A","RFD3055LE:FQD1N80TM","http://www.onsemi.com/pub/Collateral/RFD3055LESM-D.pdf","MOSFET, Fairchild, RFD3055LESM9A","2.39","ON Semiconductor","RFD3055LESM9A","512-RFD3055LESM9A","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/RFD3055LESM9A?qs=cnIeywgme7Z76wawIlx3bQ%3D%3D"
"10","3","R1, R2, R3","1000","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","","","","","",""
"11","3","R4, R5, R6","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","","","","","",""
